,drug,HC03_VC156,HC03_VC157,HC03_VC158,HC03_VC159,HC03_VC160,HC03_VC161,HC03_VC162
0,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
1,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_2,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
2,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
3,high,HC03_VC156_4,HC03_VC157_2,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_2
4,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
5,high,HC03_VC156_1,HC03_VC157_2,HC03_VC158_2,HC03_VC159_1,HC03_VC160_1,HC03_VC161_3,HC03_VC162_2
6,high,HC03_VC156_3,HC03_VC157_2,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
7,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
8,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
9,high,HC03_VC156_3,HC03_VC157_1,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
10,high,HC03_VC156_4,HC03_VC157_2,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
11,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_1,HC03_VC161_4,HC03_VC162_3
12,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_1,HC03_VC162_2
13,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
14,high,HC03_VC156_2,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_1,HC03_VC161_1,HC03_VC162_3
15,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_1,HC03_VC161_3,HC03_VC162_2
16,high,HC03_VC156_3,HC03_VC157_2,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
17,high,HC03_VC156_2,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_4,HC03_VC162_1
18,high,HC03_VC156_4,HC03_VC157_2,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
19,high,HC03_VC156_1,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_2
20,high,HC03_VC156_1,HC03_VC157_4,HC03_VC158_4,HC03_VC159_2,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
21,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
22,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
23,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_1
24,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_4,HC03_VC162_1
25,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
26,high,HC03_VC156_4,HC03_VC157_2,HC03_VC158_2,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
27,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_2,HC03_VC162_2
28,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
29,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
30,high,HC03_VC156_2,HC03_VC157_4,HC03_VC158_2,HC03_VC159_1,HC03_VC160_1,HC03_VC161_1,HC03_VC162_3
31,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_2,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_2
32,high,HC03_VC156_3,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_3,HC03_VC162_1
33,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
34,high,HC03_VC156_1,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_3,HC03_VC162_2
35,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_3,HC03_VC159_3,HC03_VC160_1,HC03_VC161_1,HC03_VC162_3
36,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
37,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
38,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_3,HC03_VC162_1
39,high,HC03_VC156_1,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
40,high,HC03_VC156_2,HC03_VC157_2,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_2
41,high,HC03_VC156_2,HC03_VC157_4,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_4,HC03_VC162_2
42,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
43,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_1
44,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
45,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
46,high,HC03_VC156_2,HC03_VC157_2,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_2
47,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
48,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_2
49,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_4,HC03_VC159_2,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
50,high,HC03_VC156_3,HC03_VC157_2,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
51,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_2
52,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_1,HC03_VC160_1,HC03_VC161_4,HC03_VC162_3
53,high,HC03_VC156_2,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_2,HC03_VC161_3,HC03_VC162_1
54,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_4,HC03_VC162_2
55,high,HC03_VC156_2,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_3,HC03_VC162_2
56,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_1
57,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_3,HC03_VC162_2
58,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_2,HC03_VC159_2,HC03_VC160_1,HC03_VC161_2,HC03_VC162_2
59,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
60,high,HC03_VC156_1,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_3,HC03_VC162_2
61,high,HC03_VC156_1,HC03_VC157_2,HC03_VC158_2,HC03_VC159_2,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
62,high,HC03_VC156_1,HC03_VC157_1,HC03_VC158_2,HC03_VC159_2,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
63,high,HC03_VC156_2,HC03_VC157_4,HC03_VC158_3,HC03_VC159_3,HC03_VC160_1,HC03_VC161_1,HC03_VC162_3
64,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_4,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_1
65,high,HC03_VC156_1,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
66,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
67,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_1,HC03_VC161_3,HC03_VC162_2
68,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_2,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
69,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_4,HC03_VC162_2
70,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
71,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_1,HC03_VC159_2,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
72,high,HC03_VC156_2,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_3,HC03_VC162_1
73,high,HC03_VC156_3,HC03_VC157_1,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
74,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_1
75,high,HC03_VC156_2,HC03_VC157_4,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
76,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_1,HC03_VC159_2,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
77,high,HC03_VC156_2,HC03_VC157_4,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_1
78,high,HC03_VC156_1,HC03_VC157_4,HC03_VC158_2,HC03_VC159_1,HC03_VC160_1,HC03_VC161_2,HC03_VC162_2
79,high,HC03_VC156_1,HC03_VC157_4,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_2
80,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_2,HC03_VC159_1,HC03_VC160_1,HC03_VC161_3,HC03_VC162_2
81,high,HC03_VC156_4,HC03_VC157_3,HC03_VC158_2,HC03_VC159_2,HC03_VC160_2,HC03_VC161_3,HC03_VC162_1
82,high,HC03_VC156_2,HC03_VC157_4,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_2,HC03_VC162_2
83,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
84,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
85,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
86,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_4,HC03_VC159_1,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
87,high,HC03_VC156_3,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_2
88,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_1
89,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_2,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
90,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
91,high,HC03_VC156_3,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_3,HC03_VC162_1
92,high,HC03_VC156_2,HC03_VC157_2,HC03_VC158_3,HC03_VC159_1,HC03_VC160_1,HC03_VC161_3,HC03_VC162_1
93,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_2,HC03_VC159_2,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
94,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
95,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_2
96,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
97,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
98,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_1
99,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
100,high,HC03_VC156_1,HC03_VC157_2,HC03_VC158_2,HC03_VC159_2,HC03_VC160_2,HC03_VC161_3,HC03_VC162_2
101,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
102,high,HC03_VC156_3,HC03_VC157_1,HC03_VC158_2,HC03_VC159_2,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
103,high,HC03_VC156_2,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_1
104,high,HC03_VC156_2,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_1,HC03_VC161_2,HC03_VC162_3
105,high,HC03_VC156_1,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_4,HC03_VC162_2
106,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_4,HC03_VC162_1
107,high,HC03_VC156_2,HC03_VC157_4,HC03_VC158_4,HC03_VC159_1,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
108,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_3,HC03_VC159_3,HC03_VC160_1,HC03_VC161_1,HC03_VC162_1
109,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
110,high,HC03_VC156_1,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_3,HC03_VC162_2
111,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_1
112,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_1
113,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
114,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
115,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_2,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
116,mid,HC03_VC156_3,HC03_VC157_4,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
117,mid,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_1,HC03_VC160_1,HC03_VC161_1,HC03_VC162_3
118,mid,HC03_VC156_2,HC03_VC157_3,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
119,mid,HC03_VC156_3,HC03_VC157_3,HC03_VC158_4,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_1
120,mid,HC03_VC156_1,HC03_VC157_3,HC03_VC158_2,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
121,mid,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
122,mid,HC03_VC156_2,HC03_VC157_2,HC03_VC158_3,HC03_VC159_3,HC03_VC160_1,HC03_VC161_2,HC03_VC162_1
123,mid,HC03_VC156_4,HC03_VC157_2,HC03_VC158_2,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_1
124,mid,HC03_VC156_4,HC03_VC157_1,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_1
125,mid,HC03_VC156_1,HC03_VC157_3,HC03_VC158_2,HC03_VC159_1,HC03_VC160_1,HC03_VC161_2,HC03_VC162_3
126,mid,HC03_VC156_3,HC03_VC157_4,HC03_VC158_4,HC03_VC159_2,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
127,mid,HC03_VC156_2,HC03_VC157_2,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_1
128,mid,HC03_VC156_2,HC03_VC157_3,HC03_VC158_3,HC03_VC159_3,HC03_VC160_1,HC03_VC161_1,HC03_VC162_2
129,mid,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
130,mid,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_1,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
131,mid,HC03_VC156_1,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_4,HC03_VC162_2
132,mid,HC03_VC156_3,HC03_VC157_4,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
133,mid,HC03_VC156_1,HC03_VC157_3,HC03_VC158_3,HC03_VC159_2,HC03_VC160_1,HC03_VC161_1,HC03_VC162_2
134,mid,HC03_VC156_4,HC03_VC157_2,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
135,mid,HC03_VC156_4,HC03_VC157_1,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
136,mid,HC03_VC156_1,HC03_VC157_3,HC03_VC158_2,HC03_VC159_2,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
137,mid,HC03_VC156_3,HC03_VC157_1,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_1
138,mid,HC03_VC156_2,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_2,HC03_VC161_3,HC03_VC162_2
139,mid,HC03_VC156_1,HC03_VC157_2,HC03_VC158_2,HC03_VC159_2,HC03_VC160_2,HC03_VC161_2,HC03_VC162_2
140,mid,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
141,mid,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_1
142,mid,HC03_VC156_3,HC03_VC157_3,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
143,mid,HC03_VC156_1,HC03_VC157_3,HC03_VC158_2,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_1
144,mid,HC03_VC156_3,HC03_VC157_3,HC03_VC158_2,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
145,mid,HC03_VC156_1,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_4,HC03_VC162_3
146,mid,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
147,mid,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_1
148,mid,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_1,HC03_VC161_3,HC03_VC162_1
149,mid,HC03_VC156_1,HC03_VC157_4,HC03_VC158_2,HC03_VC159_2,HC03_VC160_1,HC03_VC161_2,HC03_VC162_3
150,mid,HC03_VC156_1,HC03_VC157_4,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
151,mid,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_1
