,drug,HC03_VC195,HC03_VC194,HC03_VC193,HC03_VC192,HC03_VC191,HC03_VC190,HC03_VC189,HC03_VC188,HC03_VC187,HC03_VC186,HC03_VC185,HC03_VC181,HC03_VC180,HC03_VC179
0,high,HC03_VC195_1,HC03_VC194_3,HC03_VC193_3,HC03_VC192_1,HC03_VC191_1,HC03_VC190_3,HC03_VC189_1,HC03_VC188_2,HC03_VC187_1,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
1,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2,HC03_VC192_2,HC03_VC191_4,HC03_VC190_3,HC03_VC189_1,HC03_VC188_1,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
2,high,HC03_VC195_2,HC03_VC194_4,HC03_VC193_4,HC03_VC192_4,HC03_VC191_4,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
3,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1,HC03_VC192_1,HC03_VC191_2,HC03_VC190_2,HC03_VC189_1,HC03_VC188_1,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_2
4,high,HC03_VC195_4,HC03_VC194_3,HC03_VC193_4,HC03_VC192_3,HC03_VC191_2,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_1,HC03_VC186_1,HC03_VC185_4,HC03_VC181_1,HC03_VC180_2,HC03_VC179_2
5,high,HC03_VC195_4,HC03_VC194_3,HC03_VC193_4,HC03_VC192_4,HC03_VC191_3,HC03_VC190_3,HC03_VC189_1,HC03_VC188_3,HC03_VC187_2,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
6,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2,HC03_VC192_2,HC03_VC191_1,HC03_VC190_1,HC03_VC189_3,HC03_VC188_1,HC03_VC187_1,HC03_VC186_3,HC03_VC185_2,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
7,high,HC03_VC195_4,HC03_VC194_3,HC03_VC193_4,HC03_VC192_4,HC03_VC191_3,HC03_VC190_3,HC03_VC189_3,HC03_VC188_3,HC03_VC187_1,HC03_VC186_1,HC03_VC185_2,HC03_VC181_2,HC03_VC180_1,HC03_VC179_3
8,high,HC03_VC195_4,HC03_VC194_4,HC03_VC193_2,HC03_VC192_4,HC03_VC191_3,HC03_VC190_4,HC03_VC189_1,HC03_VC188_2,HC03_VC187_3,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
9,high,HC03_VC195_2,HC03_VC194_1,HC03_VC193_2,HC03_VC192_1,HC03_VC191_3,HC03_VC190_1,HC03_VC189_1,HC03_VC188_2,HC03_VC187_1,HC03_VC186_3,HC03_VC185_2,HC03_VC181_1,HC03_VC180_1,HC03_VC179_2
10,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2,HC03_VC192_3,HC03_VC191_4,HC03_VC190_4,HC03_VC189_2,HC03_VC188_1,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
11,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4,HC03_VC192_4,HC03_VC191_1,HC03_VC190_2,HC03_VC189_3,HC03_VC188_3,HC03_VC187_2,HC03_VC186_1,HC03_VC185_3,HC03_VC181_1,HC03_VC180_1,HC03_VC179_2
12,high,HC03_VC195_4,HC03_VC194_2,HC03_VC193_2,HC03_VC192_2,HC03_VC191_4,HC03_VC190_1,HC03_VC189_3,HC03_VC188_3,HC03_VC187_1,HC03_VC186_3,HC03_VC185_2,HC03_VC181_1,HC03_VC180_1,HC03_VC179_2
13,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1,HC03_VC192_3,HC03_VC191_1,HC03_VC190_3,HC03_VC189_1,HC03_VC188_2,HC03_VC187_2,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
14,high,HC03_VC195_4,HC03_VC194_2,HC03_VC193_2,HC03_VC192_1,HC03_VC191_1,HC03_VC190_3,HC03_VC189_2,HC03_VC188_3,HC03_VC187_3,HC03_VC186_2,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
15,high,HC03_VC195_1,HC03_VC194_3,HC03_VC193_2,HC03_VC192_3,HC03_VC191_1,HC03_VC190_3,HC03_VC189_1,HC03_VC188_2,HC03_VC187_3,HC03_VC186_2,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
16,high,HC03_VC195_4,HC03_VC194_4,HC03_VC193_3,HC03_VC192_3,HC03_VC191_1,HC03_VC190_3,HC03_VC189_3,HC03_VC188_3,HC03_VC187_2,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
17,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1,HC03_VC192_1,HC03_VC191_3,HC03_VC190_2,HC03_VC189_2,HC03_VC188_1,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
18,high,HC03_VC195_4,HC03_VC194_4,HC03_VC193_3,HC03_VC192_2,HC03_VC191_4,HC03_VC190_2,HC03_VC189_1,HC03_VC188_3,HC03_VC187_3,HC03_VC186_2,HC03_VC185_4,HC03_VC181_2,HC03_VC180_1,HC03_VC179_2
19,high,HC03_VC195_4,HC03_VC194_4,HC03_VC193_3,HC03_VC192_4,HC03_VC191_1,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
20,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4,HC03_VC192_4,HC03_VC191_4,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_2,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_2,HC03_VC179_3
21,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_3,HC03_VC192_2,HC03_VC191_2,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_2,HC03_VC186_1,HC03_VC185_4,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
22,high,HC03_VC195_1,HC03_VC194_3,HC03_VC193_1,HC03_VC192_2,HC03_VC191_2,HC03_VC190_3,HC03_VC189_1,HC03_VC188_2,HC03_VC187_2,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
23,high,HC03_VC195_4,HC03_VC194_3,HC03_VC193_4,HC03_VC192_4,HC03_VC191_4,HC03_VC190_2,HC03_VC189_3,HC03_VC188_3,HC03_VC187_2,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_2,HC03_VC179_1
24,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1,HC03_VC192_1,HC03_VC191_3,HC03_VC190_1,HC03_VC189_3,HC03_VC188_2,HC03_VC187_3,HC03_VC186_4,HC03_VC185_2,HC03_VC181_1,HC03_VC180_2,HC03_VC179_3
25,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4,HC03_VC192_4,HC03_VC191_4,HC03_VC190_4,HC03_VC189_2,HC03_VC188_3,HC03_VC187_2,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_1
26,high,HC03_VC195_3,HC03_VC194_2,HC03_VC193_3,HC03_VC192_3,HC03_VC191_2,HC03_VC190_3,HC03_VC189_1,HC03_VC188_2,HC03_VC187_1,HC03_VC186_3,HC03_VC185_2,HC03_VC181_2,HC03_VC180_2,HC03_VC179_3
27,high,HC03_VC195_2,HC03_VC194_4,HC03_VC193_4,HC03_VC192_2,HC03_VC191_3,HC03_VC190_3,HC03_VC189_3,HC03_VC188_3,HC03_VC187_1,HC03_VC186_1,HC03_VC185_3,HC03_VC181_1,HC03_VC180_1,HC03_VC179_2
28,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3,HC03_VC192_4,HC03_VC191_3,HC03_VC190_3,HC03_VC189_3,HC03_VC188_3,HC03_VC187_2,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_2,HC03_VC179_3
29,high,HC03_VC195_3,HC03_VC194_3,HC03_VC193_3,HC03_VC192_3,HC03_VC191_2,HC03_VC190_3,HC03_VC189_3,HC03_VC188_2,HC03_VC187_1,HC03_VC186_1,HC03_VC185_2,HC03_VC181_1,HC03_VC180_2,HC03_VC179_3
30,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1,HC03_VC192_1,HC03_VC191_3,HC03_VC190_1,HC03_VC189_1,HC03_VC188_1,HC03_VC187_2,HC03_VC186_4,HC03_VC185_1,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
31,high,HC03_VC195_4,HC03_VC194_4,HC03_VC193_3,HC03_VC192_4,HC03_VC191_2,HC03_VC190_3,HC03_VC189_3,HC03_VC188_3,HC03_VC187_2,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
32,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1,HC03_VC192_1,HC03_VC191_3,HC03_VC190_2,HC03_VC189_2,HC03_VC188_1,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_2
33,high,HC03_VC195_4,HC03_VC194_4,HC03_VC193_1,HC03_VC192_3,HC03_VC191_3,HC03_VC190_3,HC03_VC189_3,HC03_VC188_2,HC03_VC187_1,HC03_VC186_1,HC03_VC185_2,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
34,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1,HC03_VC192_2,HC03_VC191_2,HC03_VC190_2,HC03_VC189_1,HC03_VC188_1,HC03_VC187_1,HC03_VC186_2,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
35,high,HC03_VC195_1,HC03_VC194_4,HC03_VC193_3,HC03_VC192_4,HC03_VC191_4,HC03_VC190_4,HC03_VC189_2,HC03_VC188_2,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
36,high,HC03_VC195_1,HC03_VC194_4,HC03_VC193_4,HC03_VC192_4,HC03_VC191_2,HC03_VC190_4,HC03_VC189_1,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
37,high,HC03_VC195_1,HC03_VC194_4,HC03_VC193_4,HC03_VC192_4,HC03_VC191_4,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
38,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2,HC03_VC192_1,HC03_VC191_2,HC03_VC190_2,HC03_VC189_1,HC03_VC188_2,HC03_VC187_1,HC03_VC186_3,HC03_VC185_1,HC03_VC181_1,HC03_VC180_2,HC03_VC179_1
39,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1,HC03_VC192_1,HC03_VC191_1,HC03_VC190_3,HC03_VC189_1,HC03_VC188_1,HC03_VC187_1,HC03_VC186_2,HC03_VC185_2,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
40,high,HC03_VC195_2,HC03_VC194_1,HC03_VC193_1,HC03_VC192_3,HC03_VC191_4,HC03_VC190_1,HC03_VC189_1,HC03_VC188_1,HC03_VC187_1,HC03_VC186_3,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
41,high,HC03_VC195_1,HC03_VC194_3,HC03_VC193_2,HC03_VC192_2,HC03_VC191_2,HC03_VC190_1,HC03_VC189_1,HC03_VC188_2,HC03_VC187_2,HC03_VC186_1,HC03_VC185_3,HC03_VC181_1,HC03_VC180_2,HC03_VC179_1
42,high,HC03_VC195_2,HC03_VC194_2,HC03_VC193_3,HC03_VC192_3,HC03_VC191_1,HC03_VC190_3,HC03_VC189_1,HC03_VC188_2,HC03_VC187_2,HC03_VC186_2,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
43,high,HC03_VC195_2,HC03_VC194_1,HC03_VC193_1,HC03_VC192_1,HC03_VC191_3,HC03_VC190_1,HC03_VC189_2,HC03_VC188_1,HC03_VC187_1,HC03_VC186_2,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
44,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_3,HC03_VC192_3,HC03_VC191_2,HC03_VC190_1,HC03_VC189_2,HC03_VC188_1,HC03_VC187_3,HC03_VC186_2,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
45,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2,HC03_VC192_2,HC03_VC191_2,HC03_VC190_1,HC03_VC189_1,HC03_VC188_1,HC03_VC187_1,HC03_VC186_3,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
46,high,HC03_VC195_1,HC03_VC194_4,HC03_VC193_3,HC03_VC192_4,HC03_VC191_3,HC03_VC190_4,HC03_VC189_2,HC03_VC188_2,HC03_VC187_3,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
47,high,HC03_VC195_3,HC03_VC194_3,HC03_VC193_1,HC03_VC192_4,HC03_VC191_1,HC03_VC190_3,HC03_VC189_2,HC03_VC188_2,HC03_VC187_2,HC03_VC186_1,HC03_VC185_2,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
48,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3,HC03_VC192_3,HC03_VC191_3,HC03_VC190_4,HC03_VC189_3,HC03_VC188_2,HC03_VC187_3,HC03_VC186_1,HC03_VC185_2,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
49,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1,HC03_VC192_3,HC03_VC191_4,HC03_VC190_2,HC03_VC189_2,HC03_VC188_1,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
50,high,HC03_VC195_2,HC03_VC194_1,HC03_VC193_4,HC03_VC192_3,HC03_VC191_3,HC03_VC190_1,HC03_VC189_1,HC03_VC188_2,HC03_VC187_2,HC03_VC186_3,HC03_VC185_4,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
51,high,HC03_VC195_4,HC03_VC194_4,HC03_VC193_4,HC03_VC192_4,HC03_VC191_1,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
52,high,HC03_VC195_2,HC03_VC194_3,HC03_VC193_3,HC03_VC192_2,HC03_VC191_4,HC03_VC190_1,HC03_VC189_2,HC03_VC188_1,HC03_VC187_1,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_2,HC03_VC179_3
53,high,HC03_VC195_1,HC03_VC194_4,HC03_VC193_3,HC03_VC192_4,HC03_VC191_2,HC03_VC190_4,HC03_VC189_2,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_1
54,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_2,HC03_VC192_1,HC03_VC191_1,HC03_VC190_3,HC03_VC189_1,HC03_VC188_2,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_3
55,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_4,HC03_VC192_2,HC03_VC191_4,HC03_VC190_2,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_2,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
56,high,HC03_VC195_2,HC03_VC194_3,HC03_VC193_3,HC03_VC192_4,HC03_VC191_1,HC03_VC190_3,HC03_VC189_2,HC03_VC188_2,HC03_VC187_2,HC03_VC186_1,HC03_VC185_2,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
57,high,HC03_VC195_1,HC03_VC194_3,HC03_VC193_3,HC03_VC192_2,HC03_VC191_1,HC03_VC190_4,HC03_VC189_3,HC03_VC188_2,HC03_VC187_2,HC03_VC186_4,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
58,high,HC03_VC195_1,HC03_VC194_3,HC03_VC193_2,HC03_VC192_2,HC03_VC191_1,HC03_VC190_4,HC03_VC189_2,HC03_VC188_2,HC03_VC187_2,HC03_VC186_2,HC03_VC185_3,HC03_VC181_1,HC03_VC180_1,HC03_VC179_2
59,high,HC03_VC195_4,HC03_VC194_4,HC03_VC193_3,HC03_VC192_3,HC03_VC191_1,HC03_VC190_3,HC03_VC189_2,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_2,HC03_VC181_1,HC03_VC180_2,HC03_VC179_2
60,high,HC03_VC195_2,HC03_VC194_2,HC03_VC193_1,HC03_VC192_1,HC03_VC191_1,HC03_VC190_2,HC03_VC189_2,HC03_VC188_1,HC03_VC187_1,HC03_VC186_2,HC03_VC185_1,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
61,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_3,HC03_VC192_4,HC03_VC191_4,HC03_VC190_1,HC03_VC189_2,HC03_VC188_1,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_2
62,high,HC03_VC195_3,HC03_VC194_2,HC03_VC193_3,HC03_VC192_2,HC03_VC191_1,HC03_VC190_1,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_3,HC03_VC185_3,HC03_VC181_1,HC03_VC180_2,HC03_VC179_2
63,high,HC03_VC195_3,HC03_VC194_1,HC03_VC193_1,HC03_VC192_2,HC03_VC191_1,HC03_VC190_1,HC03_VC189_1,HC03_VC188_2,HC03_VC187_2,HC03_VC186_3,HC03_VC185_2,HC03_VC181_2,HC03_VC180_1,HC03_VC179_2
64,high,HC03_VC195_4,HC03_VC194_3,HC03_VC193_2,HC03_VC192_3,HC03_VC191_1,HC03_VC190_4,HC03_VC189_2,HC03_VC188_2,HC03_VC187_3,HC03_VC186_2,HC03_VC185_4,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
65,high,HC03_VC195_4,HC03_VC194_4,HC03_VC193_3,HC03_VC192_2,HC03_VC191_3,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_2,HC03_VC186_2,HC03_VC185_2,HC03_VC181_2,HC03_VC180_3,HC03_VC179_2
66,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1,HC03_VC192_1,HC03_VC191_1,HC03_VC190_3,HC03_VC189_3,HC03_VC188_1,HC03_VC187_2,HC03_VC186_4,HC03_VC185_2,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
67,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1,HC03_VC192_4,HC03_VC191_2,HC03_VC190_3,HC03_VC189_2,HC03_VC188_2,HC03_VC187_3,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
68,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_1,HC03_VC192_2,HC03_VC191_4,HC03_VC190_2,HC03_VC189_2,HC03_VC188_1,HC03_VC187_2,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
69,high,HC03_VC195_3,HC03_VC194_3,HC03_VC193_3,HC03_VC192_4,HC03_VC191_2,HC03_VC190_2,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_2,HC03_VC185_2,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
70,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_2,HC03_VC192_3,HC03_VC191_3,HC03_VC190_3,HC03_VC189_2,HC03_VC188_2,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
71,high,HC03_VC195_3,HC03_VC194_3,HC03_VC193_4,HC03_VC192_2,HC03_VC191_3,HC03_VC190_1,HC03_VC189_1,HC03_VC188_3,HC03_VC187_2,HC03_VC186_2,HC03_VC185_3,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
72,high,HC03_VC195_3,HC03_VC194_1,HC03_VC193_1,HC03_VC192_2,HC03_VC191_3,HC03_VC190_3,HC03_VC189_2,HC03_VC188_2,HC03_VC187_2,HC03_VC186_2,HC03_VC185_2,HC03_VC181_2,HC03_VC180_3,HC03_VC179_1
73,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_3,HC03_VC192_3,HC03_VC191_2,HC03_VC190_3,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
74,high,HC03_VC195_1,HC03_VC194_2,HC03_VC193_1,HC03_VC192_1,HC03_VC191_1,HC03_VC190_2,HC03_VC189_1,HC03_VC188_2,HC03_VC187_2,HC03_VC186_4,HC03_VC185_3,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
75,high,HC03_VC195_4,HC03_VC194_2,HC03_VC193_4,HC03_VC192_1,HC03_VC191_1,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_3,HC03_VC179_3
76,high,HC03_VC195_2,HC03_VC194_2,HC03_VC193_1,HC03_VC192_2,HC03_VC191_3,HC03_VC190_1,HC03_VC189_1,HC03_VC188_2,HC03_VC187_2,HC03_VC186_3,HC03_VC185_1,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
77,high,HC03_VC195_4,HC03_VC194_1,HC03_VC193_3,HC03_VC192_2,HC03_VC191_3,HC03_VC190_2,HC03_VC189_2,HC03_VC188_3,HC03_VC187_3,HC03_VC186_3,HC03_VC185_3,HC03_VC181_2,HC03_VC180_3,HC03_VC179_1
78,high,HC03_VC195_1,HC03_VC194_1,HC03_VC193_3,HC03_VC192_3,HC03_VC191_4,HC03_VC190_1,HC03_VC189_3,HC03_VC188_1,HC03_VC187_1,HC03_VC186_4,HC03_VC185_1,HC03_VC181_1,HC03_VC180_2,HC03_VC179_2
79,high,HC03_VC195_3,HC03_VC194_4,HC03_VC193_1,HC03_VC192_4,HC03_VC191_2,HC03_VC190_4,HC03_VC189_3,HC03_VC188_3,HC03_VC187_3,HC03_VC186_1,HC03_VC185_4,HC03_VC181_2,HC03_VC180_2,HC03_VC179_3
80,high,HC03_VC195_3,HC03_VC194_1,HC03_VC193_2,HC03_VC192_1,HC03_VC191_2,HC03_VC190_1,HC03_VC189_1,HC03_VC188_2,HC03_VC187_2,HC03_VC186_2,HC03_VC185_2,HC03_VC181_2,HC03_VC180_2,HC03_VC179_2
81,high,HC03_VC195_1,HC03_VC194_4,HC03_VC193_2,HC03_VC192_3,HC03_VC191_1,HC03_VC190_4,HC03_VC189_2,HC03_VC188_2,HC03_VC187_2,HC03_VC186_3,HC03_VC185_3,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
82,high,HC03_VC195_2,HC03_VC194_2,HC03_VC193_2,HC03_VC192_2,HC03_VC191_1,HC03_VC190_1,HC03_VC189_2,HC03_VC188_3,HC03_VC187_1,HC03_VC186_1,HC03_VC185_2,HC03_VC181_2,HC03_VC180_1,HC03_VC179_2
83,high,HC03_VC195_2,HC03_VC194_1,HC03_VC193_2,HC03_VC192_2,HC03_VC191_3,HC03_VC190_2,HC03_VC189_2,HC03_VC188_2,HC03_VC187_1,HC03_VC186_3,HC03_VC185_1,HC03_VC181_1,HC03_VC180_1,HC03_VC179_1
